,date,money,clear_money
2016,2025-12-22 00:00:00,18971.89999999998,10076.3991500009
2017,2025-12-22 04:00:00,18971.89999999998,10032.175050000908
2018,2025-12-22 08:00:00,19144.999999999985,10205.275050000913
2019,2025-12-22 12:00:00,19251.199999999983,10311.47505000091
2020,2025-12-22 16:00:00,19651.39999999998,10711.675050000908
2021,2025-12-22 20:00:00,20428.89999999998,11489.175050000908
2022,2025-12-23 00:00:00,20212.199999999983,11272.47505000091
2023,2025-12-23 04:00:00,18534.79999999999,9595.075050000916
2024,2025-12-23 08:00:00,19105.199999999983,10165.47505000091
2025,2025-12-23 12:00:00,18651.89999999998,9712.175050000908
2026,2025-12-23 16:00:00,18054.999999999985,9115.275050000913
2027,2025-12-23 20:00:00,18337.599999999977,9397.875050000905
2028,2025-12-24 00:00:00,17928.999999999985,8989.275050000913
2029,2025-12-24 04:00:00,18247.89999999998,9308.175050000908
2030,2025-12-24 08:00:00,17986.699999999983,9046.97505000091
2031,2025-12-24 12:00:00,17835.099999999977,8895.375050000905
2032,2025-12-24 16:00:00,17391.79999999999,8452.075050000916
2033,2025-12-24 20:00:00,17686.29999999999,8746.575050000916
2034,2025-12-25 00:00:00,17535.699999999983,8552.469050000916
2035,2025-12-25 04:00:00,17535.699999999983,8552.469050000916
2036,2025-12-25 08:00:00,17535.699999999983,8552.469050000916
2037,2025-12-25 12:00:00,17535.699999999983,8508.563250000923
2038,2025-12-25 16:00:00,17551.399999999994,8524.263250000935
2039,2025-12-25 20:00:00,17862.09999999999,8834.963250000932
2040,2025-12-26 00:00:00,17008.399999999994,7981.263250000935
2041,2025-12-26 04:00:00,17234.999999999985,8207.863250000926
2042,2025-12-26 08:00:00,18164.499999999985,9137.363250000926
2043,2025-12-26 12:00:00,16551.09999999999,7523.963250000932
2044,2025-12-26 16:00:00,16914.29999999999,7887.163250000929
2045,2025-12-26 20:00:00,16839.79999999999,7812.663250000929
2046,2025-12-27 00:00:00,18247.29999999999,9220.16325000093
2047,2025-12-27 04:00:00,17893.59999999999,8866.463250000932
2048,2025-12-27 08:00:00,18029.09999999999,9001.963250000932
2049,2025-12-27 12:00:00,17873.899999999994,8846.763250000935
2050,2025-12-27 16:00:00,17856.399999999994,8829.263250000935
2051,2025-12-27 20:00:00,17913.699999999983,8886.563250000923
2052,2025-12-28 00:00:00,17831.09999999999,8803.963250000932
2053,2025-12-28 04:00:00,17824.899999999994,8797.763250000935
2054,2025-12-28 08:00:00,17517.899999999994,8490.763250000935
2055,2025-12-28 12:00:00,17654.29999999999,8627.16325000093
2056,2025-12-28 16:00:00,17649.59999999999,8622.463250000932
2057,2025-12-28 20:00:00,17496.499999999985,8469.363250000926
2058,2025-12-29 00:00:00,17549.59999999999,8522.463250000932
2059,2025-12-29 04:00:00,17858.699999999983,8831.563250000923
2060,2025-12-29 08:00:00,17426.79999999999,8399.66325000093
2061,2025-12-29 12:00:00,15255.699999999983,6183.517450000931
2062,2025-12-29 16:00:00,15255.699999999983,6138.725950000939
2063,2025-12-29 20:00:00,13201.699999999983,4084.7259500009386
2064,2025-12-30 00:00:00,13309.299999999988,4192.325950000944
2065,2025-12-30 04:00:00,13001.599999999977,3884.625950000933
2066,2025-12-30 08:00:00,12875.999999999985,3759.0259500009415
2067,2025-12-30 12:00:00,13007.39999999998,3890.4259500009357
2068,2025-12-30 16:00:00,13130.199999999983,4013.2259500009386
2069,2025-12-30 20:00:00,13547.89999999998,4430.925950000936
2070,2025-12-31 00:00:00,14639.499999999985,5522.5259500009415
2071,2025-12-31 04:00:00,13862.39999999998,4745.425950000936
